Sr. No,Title,DOI,Date Published,Author,Abstract,Method Used,Result,Conclusion,Limitations,Disease Domain,Quantum Method Family,Execution Environment,Classical Baseline Quality,Number of Qubits,Data Encoding Strategy,Performance Metric(s) Reported,Quantum Advantage Status,Quantum Advantage Notes,Dataset Size (Numeric),Dataset Size (Notes),Statistical Uncertainty Status,Statistical Uncertainty Details
22,Hybrid Classical-Quantum Transfer Learning for Cardiomegaly Detection in Chest X-rays,10.3390/jimaging9070128,2023-06-25,Pierre Decoodt; Tan Jun Liang; Soham Bopardikar; Hemavathi Santhanam; Alfaxad Eyembe; Begonya Garcia-Zapirain; Daniel Sierra-Sosa,Cardiovascular diseases may benefit from quantum machine learning advances in medical imaging. Hybrid classical-quantum (CQ) transfer learning models based on pre-trained DenseNet-121 are designed to detect cardiomegaly in chest X-rays (CXRs) using parameterized quantum circuits integrated via Qiskit and PennyLane. A balanced dataset of 2436 CXRs from CheXpert is used.,Pre-trained DenseNet-121 + parameterized quantum circuit (PQC) integrated via Qiskit and PennyLane in PyTorch; CheXpert balanced dataset (2436 posteroanterior CXRs); k-fold cross-validation; state vector simulator; normalized global effective dimension for trainability; Grad-CAM++ heatmap visualization,"ROC AUC up to 0.93, accuracy up to 0.87 for several CQ models rivaling classical-classical (CC) DenseNet model; Grad-CAM++ hot zone covering heart: 94% (CQ) vs 61% (CC), p<0.001",Hybrid CQ transfer learning rivals classical DenseNet models for cardiomegaly detection; quantum circuits may enhance clinical interpretability through better Grad-CAM++ localization; promising for health professional acceptance,Tested only on state vector simulator; no real QPU validation; balanced dataset may not reflect real clinical distribution; limited to binary cardiomegaly classification; small quantum circuit size,Cardiovascular / Medical Imaging,VQC,Noiseless Simulator,Yes – classical DenseNet-121 compared,Not Reported,Angle / Parameterized circuit,"AUC, Accuracy, Grad-CAM++ localization",Unclear,rivals classical model; no clear quantum advantage in accuracy,2436.0,2436,No,
23,Novel Hybrid Quantum Architecture-Based Lung Cancer Detection Using Chest Radiograph and Computerized Tomography Images,10.3390/bioengineering11080799,2024-08-07,Jason Elroy Martis; Sannidhan M S; Balasubramani R; A. M. Mutawa; M. Murugappan,Lung cancer is the second most common cancer worldwide presenting significant health challenges. This study proposes a hybrid framework combining deep learning with quantum computing to enhance lung cancer detection accuracy using chest radiographs (CXR) and CT images. Pre-trained DL models are used for feature extraction and quantum circuits for classification.,Pre-trained DL models for feature extraction from CXR and CT lung cancer images; hybrid quantum layers (parameterized quantum circuits) for classification; compared against classical DL models; evaluated on lung cancer CXR and CT datasets,"Overall accuracy 92.12%, sensitivity 94%, specificity 90%, F1 93%, precision 92%; outperforms traditional DL methods in accuracy, speed, and scalability",Hybrid quantum-classical approach surpasses traditional methods in lung cancer detection; quantum computing enhances processing speed and scalability; promising tool for early lung cancer screening and improved patient care,Quantum circuits simulated not on real QPU; dataset details not fully specified; no clinical deployment validation; improvement over classical DL marginal in some metrics; scalability to large clinical datasets not yet demonstrated,Oncology / Medical Imaging,QNN,Noiseless Simulator,Yes – classical DL models compared,Not Reported,Angle / Parameterized circuit,"Accuracy, Sensitivity, Specificity, F1, Precision",Yes,outperforms traditional DL on simulator,,Not Reported,No,
24,CODI: Enhancing machine learning-based molecular profiling through contextual out-of-distribution integration,10.1093/pnasnexus/pgae449,2024-10-15,Tarek Eissa; Marinus Huber; Barbara Obermayer-Pietsch; Birgit Linkohr; Annette Peters; Frank Fleischmann; Mihaela Žigman,"Proposes CODI (Contextual Out-of-Distribution Integration), a method that generates synthetic out-of-distribution training data from experimental observations to improve robustness of ML models for molecular profiling. Evaluated on metabolomics and infrared spectroscopy datasets for phenotype prediction.","CODI data-augmentation framework; generates synthetic OOD samples via variational autoencoders; tested with classical ML classifiers (SVM, RF, XGBoost) on molecular profiling data.",CODI consistently improved classification performance across multiple molecular phenotype prediction tasks; demonstrated reduced sensitivity to batch effects and improved generalisation.,CODI is a broadly applicable data-augmentation strategy that enhances robustness of molecular-phenotype ML models by contextually integrating OOD information derived from experimental variation.,Classical ML only; no quantum components; applicability depends on availability of relevant OOD reference data.,General / Multi-domain (Metabolomics),N/A (Classical ML),Not Reported,Yes — standard ML classifiers as baselines,Not Reported,Not Reported,"Accuracy, AUC, F1",No,Not Reported,,Not Reported,Partial,
25,"Epidemics, the Ising-model and percolation theory: A comprehensive review focused on Covid-19",10.1016/j.physa.2021.125963,2021-01-01,I.F. Mello; L. Squillante; G.O. Gomes; A.C. Seridonio; M. de Souza,"Comprehensive review connecting SIR epidemic models with the Ising model from statistical physics and percolation theory, applied specifically to the COVID-19 outbreak. Maps epidemic parameters to physical quantities, linking the basic reproduction number R0 to percolation probability and social distancing to blocked connections.",Analytical mapping of SIR compartmental model onto the Ising spin model and percolation theory; theoretical framework; no ML or quantum computing.,Demonstrates mathematical equivalences between SIR model parameters and Ising/percolation quantities; provides new analytical tools for understanding epidemic spread and the impact of social distancing.,"The Ising model and percolation theory provide a rigorous alternative framework for understanding COVID-19 dynamics, linking epidemic parameters to well-established condensed-matter physics concepts.",Theoretical framework only; no empirical validation on actual COVID-19 data; no machine learning component; limited to idealised model assumptions.,Epidemiology,Quantum-Inspired (Ising model analogy),Not Reported,None reported,Not Reported,Not Reported,None (theoretical framework),No,Not Reported,,Not Reported,No,
26,Error mitigation enables PET radiomic cancer characterization on quantum computers,10.1007/s00259-023-06362-6,2023-08-04,S. Moradi; Clemens Spielvogel; Denis Krajnc; C. Brandner; S. Hillmich; R. Wille; T. Traub-Weidinger; X. Li; M. Hacker; W. Drexler; L. Papp,"Investigates quantum machine learning (QML) for predicting clinical endpoints from PET radiomic features in glioma, prostate, and lung cancer. Compares QML on noisy simulators and real IBMQ hardware with and without error mitigation techniques against classical ML baselines.","Variational Quantum Classifier (VQC); PCA feature reduction; ZZFeatureMap + RealAmplitudes ansatz; error mitigation (zero-noise extrapolation, measurement error mitigation); tested on IBMQ simulator and real hardware.",QML with error mitigation on real hardware achieved competitive performance to classical ML in several PET cancer cohorts; error mitigation significantly improved real-hardware results; quantum advantage demonstrated in specific measurable conditions.,Error mitigation can enable clinically relevant quantum ML in PET cancer imaging; near-term QML improvements possible through circuit optimisation and error mitigation on real quantum hardware.,Limited to classical radiomic features; dataset sizes small; quantum advantage heavily dependent on noise levels and circuit depth; hardware noise remains a fundamental constraint.,Oncology,VQC,Real Quantum Hardware + Simulator,Yes — classical ML comparators,Not Reported,Amplitude encoding / ZZ Feature Map,"AUC, Accuracy",Partial,demonstrated under specific error-mitigated conditions,,Not specified (multi-cohort PET datasets),Partial,
27,Estimating China’s CO2 emissions under the influence of COVID-19 epidemic using a novel fractional multivariate nonlinear grey model,10.1007/s10668-023-03325-7,2023-01-01,Wen Lei; Shuhua Mao; Yonghong Zhang,Proposes a novel fractional multivariate nonlinear grey model (FMNGM) to forecast China’s CO2 emissions during and after the COVID-19 pandemic. Incorporates COVID-19 epidemic data and economic indicators as covariates; evaluates prediction accuracy against several classical grey model variants.,"Fractional multivariate nonlinear grey model (FMNGM); fractional order accumulation; PSO parameter optimisation; compared against GM(1,1), NGBM(1,1), and other grey models.",FMNGM outperformed competing grey models in forecasting accuracy (MAPE < 2%); predicted China’s CO2 emissions trajectory from 2021 to 2025 accounting for COVID-19 impact.,The novel FMNGM provides better forecasting accuracy for China’s CO2 emissions with COVID-19 impact than standard grey models; epidemic data significantly affects emission trajectories.,Grey model assumptions may not generalise globally; limited to China’s data; COVID-19 impacts are historically unique and hard to extrapolate; no deep learning benchmark.,Epidemiology / Environmental,N/A (Classical grey model / time-series),Not Reported,"Yes — GM(1,1), NGBM variants",Not Reported,Not Reported,"MAPE, RMSE",No,Not Reported,2000.0,Annual data 2000-2020 (~21 data points),Partial,
28,Forecasting Influenza Epidemics and Pandemics in the Age of AI and Machine Learning,10.1002/rmv.70107,2026-01-01,Oleksandr Kamyshnyi; Iryna Halabitska; Valentyn Oksenych; Iryna Kamyshna; Pavlo Petakh; Denis E. Kainov,"Systematic review of AI and machine learning approaches for forecasting influenza epidemics and pandemics, synthesising insights from historical data (1890–2025). Reviews how AI/ML methods including deep learning, LSTM, and transformer models are transforming influenza surveillance and preparedness.","Narrative/systematic review; covers traditional statistical methods, ML (LSTM, CNN, RNN), deep learning, and emerging AI frameworks for influenza forecasting; no original model development.",Reviews demonstrate that AI/ML models outperform classical statistical approaches for influenza forecasting in accuracy and timeliness; LSTM and transformer architectures particularly effective for long-range prediction.,"AI and ML are reshaping influenza forecasting by enabling more accurate prediction of viral evolution, spread, and public health impacts; integration of multi-source data is key for future preparedness.",Review scope may introduce selection bias; many reviewed models not clinically validated; AI models require large high-quality data; interpretability remains limited.,Epidemiology,N/A (Review of classical ML/DL methods),Not Reported,Not Reported,Not Reported,Not Reported,None (narrative review),No,Not Reported,,Not Reported,No,
29,Grading diabetic retinopathy and prostate cancer diagnostic images with deep quantum ordinal regression,10.1016/j.compbiomed.2022.105472,2022-04-09,Santiago Toledo-Cortés; Diego H. Useche; Henning Müller; Fabio A. González,Presents a novel deep quantum ordinal regression method combining deep learning feature extraction with quantum density matrix regression for grading medical images. Applied to diabetic retinopathy grading and prostate cancer Gleason score classification.,"Deep learning (ResNet, InceptionV3) + Quantum Measurement Regression (density matrices, random quantum features); 5-fold cross-validation on APTOS/IDRiD (diabetic retinopathy) and SICAP (prostate cancer) datasets.",Competitive performance with state-of-the-art classical ordinal regression methods on both diabetic retinopathy and prostate cancer grading tasks; quantum method provides probabilistic uncertainty estimates.,"Deep quantum ordinal regression is a viable approach for multi-grade medical image diagnosis, combining representational power of deep learning with quantum probabilistic modeling for uncertainty-aware grading.",Quantum component runs on classical simulator only; limited dataset sizes; quantum advantage over classical alternatives not rigorously demonstrated; hybrid architecture complexity.,Ophthalmology / Oncology,QSVM,Noiseless Simulator,Yes — classical deep ordinal regression comparators,Not Reported,Quantum feature map (density matrix),"Accuracy, Kappa, MAE, AUC",Partial,competitive but not rigorously superior,3500.0,~3500 (APTOS) + ~100 (SICAP),No,
30,How quantum computing can enhance biomarker discovery,10.1016/j.patter.2025.101236,2025-01-01,Frederik F. Flöther; Daniel Blankenberg; Maria Demidik; Karl Jansen; Raga Krishnakumar; Rajiv Krishnakumar; Nouamane Laanait; Laxmi Parida; Carl Y. Saab; Filippo Utro,"Perspective article exploring how quantum computing could accelerate biomarker discovery across multiple disease domains. Discusses quantum algorithms for dimensionality reduction, classification, and multi-omics integration relevant to biomarker identification.","Perspective / narrative review; discusses QSVM, VQE, QAOA, and quantum-enhanced feature selection for biomarker applications; no original experimental implementation.","No quantitative experimental results; qualitative assessment of potential quantum advantages in multi-omics analysis, rare-disease biomarker identification, and personalised medicine applications.",Quantum computing holds significant promise for biomarker discovery especially in multi-factorial diseases and rare conditions; near-term quantum-classical hybrid approaches are the most viable pathway.,Largely speculative; near-term hardware limitations; data-encoding overhead significant; quantum advantage over classical ML not demonstrated for practical biomarker tasks.,General / Multi-domain,QSVM,Not Reported,None reported,Not Reported,Not Reported,None (perspective),Unclear,Not Reported,,Not Reported,No,
31,Implementation of a Hamming distance-like genomic quantum classifier using inner products on ibmqx2 and ibmq_16_melbourne,10.1007/s42484-020-00017-7,2020-05-01,Kunal Kathuria; Aakrosh Ratan; Michael McConnell; Stefan Bekiranov,"Presents a quantum classifier based on Hamming distance-like inner products for genomic data, implemented and tested on IBM quantum hardware (ibmqx2 and ibmq_16_melbourne). Classifies individuals with disease versus controls using copy number variation (CNV) genomic attributes.",Inner-product-based kernel quantum classifier; SWAP test for inner product estimation; binary CNV encoding; tested on ibmqx2 (5 qubits) and ibmq_16_melbourne (16 qubits) via IBM Q cloud.,Classifier achieves correct classification on test cases; demonstrates proof-of-concept for genome-scale quantum classification; noise on real hardware reduces fidelity compared to simulator.,Quantum kernel classifiers can be implemented on near-term hardware for genomic classification tasks; O(n) gate complexity after state preparation; proof-of-concept for quantum genomic diagnostics.,Limited to small-scale toy genomic datasets; real hardware noise significantly degrades results; scalability to full genome sizes requires error correction; no classical baseline comparison reported.,Genomics / Bioinformatics,QSVM,Real Quantum Hardware,None reported,5 (ibmqx2) / 16 (ibmq_16_melbourne),Basis encoding (binary CNV),Classification accuracy (qualitative),Unclear,Not Reported,,"Small (toy dataset, few samples)",No,
32,Initial State Encoding via Reverse Quantum Annealing and H-Gain Features,10.1109/TQE.2023.3319586,2023-01-01,Elijah Pelofske; Georg Hahn; Hristo Djidjev,Studies two D-Wave features — reverse annealing (RA) and h-gain (HG) — as mechanisms to encode a known initial state into quantum annealing to improve solution quality on combinatorial optimisation problems. Systematic evaluation across multiple QUBO problem instances.,D-Wave quantum annealing; reverse annealing (RA) protocol; h-gain (HG) feature; evaluated on max-cut and other QUBO instances; compared to forward annealing baseline.,RA and HG features can improve solution quality over standard forward annealing for specific problem instances; combined RA+HG provides further improvement; effect is problem- and parameter-dependent.,Encoding good initial states via reverse annealing and h-gain features improves D-Wave quantum annealer performance for combinatorial optimisation; hybrid classical-quantum initialisation strategies are beneficial.,Improvement is problem-specific; no guarantee of improvement in all cases; limited to D-Wave hardware; comparisons with classical solvers limited.,General (Combinatorial Optimisation),Quantum Annealing,Real Quantum Hardware,Yes — forward annealing as baseline,2000+ (D-Wave 2000Q),QUBO (problem graph embedding),"Solution quality (approximation ratio), TTS",Partial,situational improvement shown,,Multiple QUBO benchmark instances,Partial,
33,Medical image diagnosis based on adaptive Hybrid Quantum CNN,10.1186/s12880-023-01084-5,2023-01-01,Naim Ajlouni; Oguzhan Alagoz; Abdulkadir Karabatak; Erkan Bostanci,Proposes an adaptive hybrid quantum-classical CNN (HQCNN) for medical image classification. Integrates parameterised quantum circuits into a CNN architecture using an adaptive SGD optimizer. Evaluates on medical imaging datasets against standard CNN baselines.,Hybrid Quantum-Classical CNN (HQCNN); Parameterised Quantum Circuits (PQC) embedded in classical CNN layers; adaptive SGD optimiser; Qiskit simulator; tested on medical imaging datasets.,HQCNN outperformed conventional CNN in classification accuracy; further performance improvements achieved with the adaptive SGD optimiser for both quantum and classical variants.,Hybrid quantum-classical CNN with PQC layers and adaptive optimisation improves medical image classification performance over classical CNN; quantum layer provides representational benefit.,Evaluation on simulator only; small dataset; quantum layer scalability limited by qubit count; no statistical significance testing reported.,Medical Imaging / General,VQC,Noiseless Simulator,Yes — conventional CNN,Not Reported,Angle encoding / parameterised circuit,Accuracy,Partial,on simulator only,,Not Reported,No,
34,Natural quantum reservoir computing for temporal information processing,10.1038/s41598-022-05061-w,2022-01-01,Yudai Suzuki; Qi Gao; Ken C. Pradel; Kenji Yasuoka; Naoki Yamamoto,"Proposes using real superconducting quantum devices as natural quantum reservoirs, exploiting hardware noise as a computational resource for temporal information processing. Evaluates the reservoir on a benchmark NARMA time-series regression task and a practical short-term memory task.",Natural quantum reservoir computing (NQRC) using noisy IBMQ superconducting devices; linear readout layer; NARMA regression task; 5-qubit quantum reservoir.,Natural NQRC on real IBMQ hardware achieves competitive performance on NARMA-10 benchmark; hardware noise acts as a beneficial nonlinear reservoir resource compared to ideal noiseless circuits.,Real quantum hardware noise can serve as a computational resource for reservoir computing; natural NQRC avoids the need for engineered noise and leverages inherent decoherence beneficially.,Performance limited by current hardware noise levels; small reservoir (5 qubits); unclear advantage over classical reservoir computing at larger scales.,General (Time-series / Signal Processing),Quantum Reservoir Computing (QRC),Real Quantum Hardware,Yes — classical and ideal quantum baselines,5,Angle encoding,"NRMSE, Memory capacity",Partial,competitive with classical RC using noise as resource,10.0,NARMA-10 benchmark (synthetic),Partial,
35,Optimizing a quantum reservoir computer for time series prediction,10.1038/s41598-020-71673-9,2020-01-01,Aki Kutvonen; Keisuke Fujii; Takahiro Sagawa,"Studies a quantum reservoir computer (QRC) based on a transverse-field Ising model and investigates how memory capacity and accuracy vary with system parameters (coupling strength, input scaling, qubit count). Benchmarks on NARMA time-series and spoken-digit recognition tasks.",Quantum Reservoir Computing (QRC); transverse-field Ising model reservoir; linear readout; NARMA-2/NARMA-10 benchmarks; word error rate on spoken digit classification.,QRC with optimised parameters achieves competitive NARMA performance; memory capacity scales with qubit number; demonstrates utility for both regression and classification time-series tasks.,Quantum reservoir computing is a promising paradigm for sequential learning; parameter optimisation (coupling/input scaling) is critical; system size directly affects memory capacity.,Simulated system only; does not account for real hardware noise; spoken digit classification uses simplified feature extraction; limited comparison to deep learning baselines.,General (Time-series),Quantum Reservoir Computing (QRC),Noiseless Simulator,Yes — classical RC (echo state network),05-Oct,Amplitude encoding,"NRMSE, Memory capacity, WER",Partial,competitive with classical RC,,NARMA synthetic + spoken digit dataset,Partial,
36,Optimizing quantum noise-induced reservoir computing for nonlinear and chaotic time series prediction,10.1038/s41598-023-45015-4,2023-01-01,Daniel Fry; Amol Deshmukh; Samuel Yen-Chi Chen; Vladimir Rastunkov; Vanio Markov,"Advances quantum noise-induced reservoir computing (QNIRC) by using hardware noise as an expressive resource and introduces a novel circuit optimisation approach. Evaluates on nonlinear (NARMA) and chaotic (Lorenz, Mackey-Glass) time series prediction tasks.","Quantum noise-induced reservoir computing; parameterised quantum circuits with hardware noise injection; linear readout layer; optimised via gradient-free methods; tested on NARMA, Lorenz, Mackey-Glass tasks.",QNIRC with optimised circuits achieves competitive or superior performance to classical echo state networks on chaotic time-series tasks; 7-qubit reservoir; noise optimisation improves accuracy substantially.,Noise in quantum circuits can serve as a computational asset for reservoir computing; circuit-level noise optimisation enables effective chaotic time series prediction using near-term quantum hardware.,Tested on idealized noise models; limited qubit count; comparison with state-of-the-art deep learning methods limited; real hardware deployment not demonstrated.,General (Time-series / Forecasting),Quantum Reservoir Computing (QRC),Noisy Simulator,Yes — classical echo state network,7,Angle encoding,"NRMSE, Prediction horizon",Partial,competitive with classical RC,,NARMA / Lorenz / Mackey-Glass (synthetic),Partial,
37,Parallel quantum annealing,10.1038/s41598-022-08394-8,2022-01-01,Elijah Pelofske; Georg Hahn; Hristo N. Djidjev,Proposes parallel quantum annealing (PQA) to exploit unused physical qubits on D-Wave chips by embedding multiple instances of a problem simultaneously. Demonstrates improved solution quality and throughput compared to standard single-embedding quantum annealing.,"D-Wave quantum annealing; parallel minor embedding of multiple QUBO instances; systematic evaluation on max-cut, graph colouring, and other NP-hard problems; comparison with standard QA and simulated annealing.",PQA achieves better solution quality than single-embedding QA by averaging over multiple parallel instances; significant throughput improvement without additional hardware access time.,Parallel quantum annealing makes better use of available physical qubits and improves solution quality and sampling efficiency for combinatorial optimisation; recommended as default over single-instance annealing.,Limited to small problem sizes that fit multiple instances on one chip; embedding overhead; problem-dependent scaling; not applicable to problems requiring all available qubits.,General (Combinatorial Optimisation),Quantum Annealing,Real Quantum Hardware,Yes — single-instance QA and simulated annealing,2000+ (D-Wave 2000Q),QUBO (problem graph embedding),"Solution quality (approximation ratio), TTS",Partial,improvement over single-instance QA,,Multiple NP-hard benchmark instances,Partial,
38,Performance Evaluation of Quantum-Based Machine Learning Algorithms for Cardiac Arrhythmia Classification,10.3390/diagnostics13061099,2023-03-14,Zeynep Ozpolat; Murat Karabatak,"Evaluates quantum-based ML algorithms (primarily QSVM) for ECG-based cardiac arrhythmia classification. Applies PCA for dimensionality reduction, converts features to qubit format, and compares QSVM against classical SVM on MIT-BIH arrhythmia database.",QSVM (Quantum Support Vector Machine); PCA dimensionality reduction; qubit-format feature encoding; Qiskit simulator; MIT-BIH Arrhythmia Database; comparison with classical SVM.,Classical SVM achieved 86.96% accuracy; QSVM achieved 84.42% accuracy (slightly lower); QSVM performance was competitive but did not surpass classical SVM; both evaluated at multiple dimensionality reduction levels.,QSVM is a viable alternative to classical SVM for ECG arrhythmia classification but does not outperform classical approaches on this dataset; quantum methods need further refinement for clinical applicability.,Simulation only; QSVM slightly underperforms classical SVM; limited qubit count constrains feature dimensionality; no statistical significance testing.,Cardiovascular,QSVM,Noiseless Simulator,Yes — classical SVM comparator,Not Reported,Basis encoding (PCA-reduced),Accuracy,No,Not Reported,10588.0,10588,No,
39,Plasma infrared fingerprinting with machine learning enables single-measurement multi-phenotype health screening,10.1016/j.xcrm.2024.101625,2024-07-16,Tarek Eissa; Cristina Leonardo; Kosmas V. Kepesidis; Frank Fleischmann; Birgit Linkohr; Daniel Meyer; Viola Zoka; Markus List; Lothar Richter; Annette Peters; Mihaela Zigman,"Develops ML models using infrared spectroscopy of blood plasma to detect chronic health conditions, multimorbidities, and forecast metabolic syndrome onset. Demonstrates single-measurement screening for multiple phenotypes using a population-based cohort study.","Infrared spectroscopy (ATR-FTIR) of blood plasma; classical ML classifiers (regularised regression, random forest); cross-validation on KORA population cohort; prospective validation sub-cohort.","Detects multiple chronic conditions (diabetes, CVD, metabolic syndrome) from single IR blood plasma measurement; forecasts metabolic syndrome up to 6.5 years pre-onset; AUC > 0.7 for multiple phenotypes.","Infrared plasma fingerprinting with ML enables cost-effective, high-throughput multi-phenotype health screening from a single measurement; practical for population-level health monitoring.",Classical ML only — no quantum methods; single-cohort validation; generalisability across populations/instruments needs validation.,"General / Multi-domain (Metabolic, Cardiovascular)",N/A (Classical ML),Not Reported,Yes — standard clinical tests as reference,Not Reported,Not Reported,"AUC, Accuracy, Sensitivity, Specificity",No,Not Reported,5000.0,~5000 (KORA cohort),Partial,
40,Prediction and prevention of pandemics via graphical model inference and convex programming,10.1038/s41598-022-11705-8,2022-01-01,Mikhail Krechetov; Amir Mohammad Esmaieeli Sikaroudi; Alon Efrat; Valentin Polishchuk; Michael Chertkov,Proposes a framework combining graphical model inference and convex programming to predict COVID-19 pandemic dynamics and optimise intervention strategies. Uses probabilistic graphical models to infer transmission parameters and convex optimisation to minimise pandemic impact.,Probabilistic graphical models (Bayesian networks); convex programming optimisation; COVID-19 transmission parameter inference; evaluated on real COVID-19 county-level US data.,"Framework successfully infers COVID-19 transmission parameters from observational data; convex optimisation identifies cost-effective intervention strategies (quarantine, testing allocation).",Graphical model inference combined with convex programming provides a principled framework for epidemic prediction and intervention optimisation; applicable to general pandemic preparedness.,Classical approach (no quantum methods); relies on model assumptions that may not hold; intervention cost modelling simplified; data quality from early COVID-19 surveillance limited.,Epidemiology,N/A (Classical probabilistic / convex programming),Not Reported,None reported,Not Reported,Not Reported,"RMSE, Prediction accuracy",No,Not Reported,19.0,US county-level COVID-19 data,Partial,
41,Predictive algorithm for COVID-19 infection risk in indoor environments,10.1038/s41598-025-12626-y,2025-01-01,Chiara Rucco; Prisco Piscitelli; Antonella Longo; Ali Aghazadeh Ardebili; Alessandro Miani; Enrico Greco,"Presents a predictive algorithm for COVID-19 infection risk in indoor environments using IoT environmental monitoring data. Combines air quality measurements (CO2, temperature, humidity) with epidemiological modelling to estimate real-time infection risk.","IoT sensor data (CO2, temperature, humidity, PM2.5); Wells-Riley infection risk model; ML-based risk scoring algorithm; real-world indoor environmental monitoring.",Algorithm successfully predicts infection risk in monitored indoor spaces; real-time risk estimation from IoT data; demonstrated in office and public spaces contexts.,IoT-based environmental monitoring combined with predictive ML can provide actionable real-time indoor COVID-19 risk assessment; deployable as a practical public health tool.,Classical ML only; no quantum components; limited to specific indoor environments; model assumes steady-state ventilation conditions; generalisability across building types limited.,Epidemiology / Environmental Health,N/A (Classical ML / IoT),Not Reported,None reported,Not Reported,Not Reported,"Risk score, Infection probability",No,Not Reported,,Not specified (IoT sensor readings),No,
42,Principles of Quantum Mechanics for Artificial Intelligence in medicine: Discussion with reference to the Quantum Universal Exchange Language (Q-UEL),10.1016/j.compbiomed.2022.105323,2022-01-01,Barry Robson; Jim St. Clair,"Discusses how quantum mechanical principles can be applied to artificial intelligence in medicine, using the Quantum Universal Exchange Language (Q-UEL) as a framework. Proposes a theoretical basis for quantum-inspired medical informatics and knowledge representation.",Theoretical framework; Q-UEL (Quantum Universal Exchange Language); quantum-inspired probabilistic reasoning; Pauli algebra for medical knowledge representation; no ML experiments.,Theoretical framework only; demonstrates mathematical properties of Q-UEL for medical knowledge encoding; no quantitative experimental results reported.,Quantum mechanical principles provide a rigorous mathematical foundation for AI in medicine via Q-UEL; quantum-inspired probabilistic reasoning can improve medical knowledge representation.,Highly theoretical; no experimental validation; clinical applicability unclear; Q-UEL adoption limited to theoretical literature.,General / Medical Informatics,Quantum-Inspired (Q-UEL framework),Not Reported,None reported,Not Reported,Not Reported,None (theoretical framework),Unclear,Not Reported,,Not Reported,No,
43,Quantum Cardiovascular Medicine: From Hype to Hope — A Critical Review of Real-World Applications,10.3390/jcm14176029,2025-08-26,Marek Tomala; Maciej Kłaczyński,"Critical narrative review assessing the current state and real-world applicability of quantum technologies in cardiovascular medicine. Evaluates quantum imaging, QML for diagnostics, quantum optimisation for drug discovery, and quantum sensors, distinguishing clinically viable advances from speculative hype.","Narrative review using PubMed, EMBASE, Scopus, Web of Science, IEEE Xplore, and arXiv; no original experimental model; assessment criteria applied to distinguish research readiness levels.",Most quantum cardiovascular applications remain at proof-of-concept stage; quantum sensing (magnetocardiography) shows most near-term clinical promise; QML for ECG/imaging competitive but not yet superior to classical deep learning.,Quantum technologies in cardiovascular medicine are promising but largely premature for clinical use; quantum sensing is closest to translation; rigorous benchmarking against classical AI is essential.,Narrative review susceptible to selection bias; rapidly evolving field; many theoretical claims unverified; quantum hardware limitations persist.,Cardiovascular,"Multiple (QML, Quantum Sensing, Quantum Optimisation)",Not Reported,Not Reported,Not Reported,Not Reported,None (narrative review),No,Not Reported,,Not Reported,No,
44,Quantum Computing in Medicine,10.3390/medsci12040067,2024-11-17,James C. L. Chow,"Review paper providing a comprehensive account of quantum computing (QC) in medicine, covering fundamentals (qubits, superposition, entanglement), milestones in drug discovery, molecular modelling, genomics, medical diagnostics, and QML. Discusses challenges (hardware, scalability) and future directions.","Narrative literature review; covers quantum algorithms, QML, quantum-enhanced imaging; no original experimental work.","Summarises that QC shows promise in drug discovery, molecular simulation, and medical diagnostics; quantum-classical hybrid systems identified as near-term practical pathway; full fault-tolerant QC remains distant.","Quantum computing is a transformative paradigm for medicine but practical clinical applications require overcoming hardware limitations, noise, and scalability challenges; hybrid approaches are most near-term viable.",Review scope only; rapidly evolving field; no experimental validation; many cited applications remain theoretical.,General / Multi-domain,"Multiple (QML, Quantum Algorithms, Quantum Simulation)",Not Reported,Not Reported,Not Reported,Not Reported,None (narrative review),No,Not Reported,,Not Reported,No,
45,Quantum Contagion: A Quantum-Like Approach for the Analysis of Social Contagion Dynamics with Heterogeneous Adoption Thresholds,10.3390/e23050538,2021-04-27,Ece C. Mutlu; Ozlem Ozmen Garibay,Proposes a quantum-like framework for modelling social contagion dynamics where individuals have heterogeneous adoption thresholds and exhibit uncertainty during decision-making. Uses the Inverse Born Problem (IBP) to represent probabilistic social entities as complex probability amplitudes.,Quantum-like probabilistic framework; Inverse Born Problem (IBP); density matrices for social state representation; agent-based simulation; compared against classical threshold-based contagion models.,Quantum-like model better captures phase transition behaviour in social contagion spread than classical threshold models; reproduces empirical patterns of heterogeneous adoption dynamics.,Quantum-like formalism provides a richer probabilistic model for social contagion that accounts for individual uncertainty and heterogeneity; applicable to information diffusion and social network analysis.,Quantum-like — no actual quantum computation; analogy may not map rigorously to quantum mechanics; model evaluated only on synthetic/simulated networks.,Epidemiology / Social Contagion,Quantum-Inspired (Quantum-Like Probability),Not Reported,Yes — classical threshold contagion model,Not Reported,Not Reported,"Adoption size, Phase transition properties",Partial,within quantum-like framework only,,Synthetic network simulations,No,
